Station_Code,Lockdown,Pre-Lockdown,pop_den_30s,latitude,longitude,noise_reduction_abs,noise_reduction_pct
AM.RAC22,2.858592532227326e-09,3.35767022563051e-09,584.0,38.878908,-77.342648,4.990776934031837e-10,14.863809125551214
AM.RAE6A,4.258196917343389e-08,4.5563584048342774e-08,4706.0,39.76,-104.97,2.9816148749088835e-09,6.543855004350409
AM.RB53D,1.3470097392361127e-09,1.5876838274570228e-09,5.0,41.712273,-73.205846,2.4067408822091005e-10,15.158817143486012
AM.RB669,9.462736445493556e-09,1.7976667933424692e-08,247.0,-43.90990991,171.7359847,8.513931487931136e-09,47.36100994612502
AM.RB77C,1.0046489320283244e-07,1.1035524171436793e-07,6279.0,47.6126,-122.3344,9.890348511535488e-09,8.962282495954874
AM.RBB7B,6.463676582769471e-09,1.1282258343532512e-08,131.0,28.40540541,83.37772257,4.818581760763041e-09,42.70937266318906
AM.RBC24,7.790600216984344e-09,9.418818332194232e-09,392.0,15.30630631,-61.34930843,1.6282181152098875e-09,17.286861873580417
AM.RCABD,3.9310954046036015e-10,3.1876286780824735e-10,148.0,42.3848,-71.3218,-7.43466726521128e-11,-23.32350476180188
AM.RCC68,1.0825848860538046e-07,1.1247800934542332e-07,8365.0,6.252252252,-75.58566991,4.219520740042866e-09,3.7514184013379825
AM.RCCD1,3.4714487026163315e-08,8.820890123568692e-08,207.0,17.99099099,-66.61079735,5.349441420952361e-08,60.645142905239155
AM.RD2D3,7.276098290923773e-09,9.729080851385439e-09,1515.0,13.4954955,144.7840609,2.452982560461666e-09,25.212891103812307
AM.RD6BB,7.479434475194324e-09,9.108194104661823e-09,5.0,39.18918919,-123.2215051,1.628759629467499e-09,17.88235528087676
AM.RDABA,6.501714651040441e-09,7.404375181449687e-09,3662.0,40.2703,-74.7761,9.026605304092455e-10,12.190907514663722
AM.REAF3,2.24344226802628e-07,2.623638435130875e-07,48316.0,22.26126126,114.2473283,3.80196167104595e-08,14.491179958858533
AM.RFBE4,2.866664375166592,5.879753290735489,1390.0,21.57657658,39.21692875,3.013088915568897,51.24515887965079
AM.S0C34,5.357890453105026e-09,1.1797673492318499e-08,3344.902,38.716376,-9.217416,6.4397830392134734e-09,54.585194643727306
AM.S4458,1.5062247212533608e-07,1.649871672895724e-07,2028.0,36.79279279,127.1160104,1.4364695164236316e-08,8.706553000588551
AU.GHSS,5.2371250890303784e-08,5.810505655899072e-08,1573.0,-34.919399,138.6017,5.733805668686935e-09,9.867997741067049
BE.UCC,8.296518228787834e-10,9.500828521452118e-10,3866.0,50.797241,4.36038,1.2043102926642842e-10,12.6758449533643
BK.BKS,3.7596275753896185e-10,4.2645388442837156e-10,37.0,37.87622,-122.23558,5.049112688940971e-11,11.839762453351588
BK.BRK,1.1115420951882065e-09,1.393307709735845e-09,4808.0,37.87352,-122.26099,2.8176561454763845e-10,20.222784427214428
